manifesto_id,year,countryname,partyname,migration_positive,left_right,green
64621_201111,2011,New Zealand,New Zealand First Party,1,Right,No
64901_201111,2011,New Zealand,Māori Party,NA,Right,No
64902_201111,2011,New Zealand,Mana Party,NA,Right,No
64110_201409,2014,New Zealand,Green Party,2,Right,Yes
64320_201409,2014,New Zealand,Labour Party,2,Right,No
64420_201409,2014,New Zealand,ACT New Zealand,NA,Right,No
64421_201409,2014,New Zealand,United Future New Zealand,NA,Center,No
64620_201409,2014,New Zealand,National Party,3,Right,No
64621_201409,2014,New Zealand,New Zealand First Party,1,Right,No
64901_201409,2014,New Zealand,Māori Party,NA,Right,No
64110_201709,2017,New Zealand,Green Party,2,Right,Yes
64320_201709,2017,New Zealand,Labour Party,2,Right,No
64420_201709,2017,New Zealand,ACT New Zealand,NA,Right,No
64620_201709,2017,New Zealand,National Party,3,Right,No
64621_201709,2017,New Zealand,New Zealand First Party,1,Right,No
64901_201709,2017,New Zealand,Māori Party,NA,Right,No
64110_202010,2020,New Zealand,Green Party,NA,Right,Yes
64320_202010,2020,New Zealand,Labour Party,NA,Right,No
64420_202010,2020,New Zealand,ACT New Zealand,NA,Right,No
64620_202010,2020,New Zealand,National Party,NA,Right,No
64621_202010,2020,New Zealand,New Zealand First Party,NA,Right,No
64901_202010,2020,New Zealand,Māori Party,NA,Right,No
72903_200301,2003,Israel,National Democratic Assembly,NA,Right,No
92710_199110,1991,Poland,Confederation for an Independent Poland,NA,Right,No
92210_199309,1993,Poland,Democratic Left Alliance,2,Center-left,No
92322_199309,1993,Poland,Union of Labour,NA,Right,No
92410_199309,1993,Poland,Democratic Union,NA,Right,No
92710_199309,1993,Poland,Confederation for an Independent Poland,NA,Right,No
92811_199309,1993,Poland,Polish Peasants' Party,NA,Right,No
96952_199006,1990,Slovakia,Coalition of Coexistence and the Hungarian Christian-Democratic Movement,NA,Right,No
96220_199206,1992,Slovakia,Party of the Democratic Left,NA,Right,No
181310_199404,1994,South Africa,African National Congress,2,Center-left,No
181410_199404,1994,South Africa,Democratic Party,NA,Right,No
181310_199906,1999,South Africa,African National Congress,2,Center-left,No
181410_199906,1999,South Africa,Democratic Party,2,Right,No
181910_199906,1999,South Africa,Inkatha Freedom Party,2,Right,No
181310_200404,2004,South Africa,African National Congress,2,Center-left,No
181411_200404,2004,South Africa,Democratic Alliance,2,Center-right,No
181910_200404,2004,South Africa,Inkatha Freedom Party,2,Right,No
181310_200904,2009,South Africa,African National Congress,2,Center-left,No
181411_200904,2009,South Africa,Democratic Alliance,2,Center-right,No
181420_200904,2009,South Africa,Congress of the People,2,Right,No
181910_200904,2009,South Africa,Inkatha Freedom Party,NA,Right,No
181210_201405,2014,South Africa,Economic Freedom Fighters,1,Far-left,No
181310_201405,2014,South Africa,African National Congress,2,Center-left,No
181411_201405,2014,South Africa,Democratic Alliance,2,Center-right,No
181420_201405,2014,South Africa,Congress of the People,NA,Right,No
181910_201405,2014,South Africa,Inkatha Freedom Party,NA,Right,No
181210_201905,2019,South Africa,Economic Freedom Fighters,1,Far-left,No
181310_201905,2019,South Africa,African National Congress,2,Center-left,No
181311_201905,2019,South Africa,United Democratic Movement,NA,Right,No
181320_201905,2019,South Africa,Good,NA,Right,No
181325_201905,2019,South Africa,National Freedom Party,NA,Right,No
181411_201905,2019,South Africa,Democratic Alliance,2,Center-right,No
181420_201905,2019,South Africa,Congress of the People,NA,Right,No
181510_201905,2019,South Africa,African Christian Democratic Party,NA,Right,No
181520_201905,2019,South Africa,African Transformation Movement,NA,Right,No
181710_201905,2019,South Africa,Freedom Front Plus,NA,Right,No
181910_201905,2019,South Africa,Inkatha Freedom Party,NA,Right,No
181980_201905,2019,South Africa,African Independent Congress,NA,Right,No
